Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,Final Score,Critical Failure Rate,Context Recall,Context Precision,Retrieval Time (s),Inference Time (s),Chunk Recall@3,Chunk Recall@10,Chunk MRR@10
Phi4 Mini,06_naive,Naive RAG,faceis,Fáceis,0.7705933333333334,40.0,0.8133333333333332,0.6399999999999999,0.04813333333333335,161.13646666666673,0.12222222222222222,0.1962962962962963,0.1548059964726631
Phi4 Mini,06_naive,Naive RAG,medias,Médias,0.7709133333333332,33.33333333333333,0.9466666666666667,0.6799999999999999,0.04266666666666667,6.395199999999999,0.1259259259259259,0.2296296296296296,0.13187830687830684
Phi4 Mini,06_naive,Naive RAG,dificeis,Difáceis,0.6587866666666666,46.666666666666664,0.9333333333333333,0.7466666666666667,0.09013333333333334,10.403333333333334,0.07777777777777778,0.17222222222222222,0.1211111111111111
Phi4 Mini,01_standard,Standard RAG,faceis,Fáceis,0.6796969333333334,53.333333333333336,0.6266666666666667,0.6266666666666667,2.5302666666666664,4.157866666666666,0.12222222222222222,0.14444444444444443,0.1259259259259259
Phi4 Mini,01_standard,Standard RAG,medias,Médias,0.5318266666666667,80.0,0.48000000000000004,0.4666666666666667,2.700666666666667,4.077533333333333,0.08148148148148147,0.1074074074074074,0.1148148148148148
Phi4 Mini,01_standard,Standard RAG,dificeis,Difáceis,0.5021133333333333,80.0,0.4266666666666667,0.44000000000000006,3.2734666666666663,5.1408,0.07037037037037036,0.07777777777777778,0.1388888888888889
Phi4 Mini,02_agentic,Agentic RAG,faceis,Fáceis,0.6266666666666667,80.0,0.46666666666666673,0.4400000000000001,4.234666666666667,39.20980000000001,0.06666666666666667,0.06666666666666667,0.06666666666666667
Phi4 Mini,02_agentic,Agentic RAG,medias,Médias,0.6260605333333333,60.0,0.6266666666666666,0.5333333333333333,3.1777333333333337,4.5724,0.05555555555555555,0.08518518518518518,0.1
Phi4 Mini,02_agentic,Agentic RAG,dificeis,Difáceis,0.59,80.0,0.68,0.6666666666666667,3.6318000000000006,6.521466666666666,0.07037037037037036,0.08888888888888889,0.12469135802469135
Phi4 Mini,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,0.55092,86.66666666666667,0.36000000000000004,0.3466666666666667,2.280533333333333,2.5273999999999996,0.05555555555555555,0.05555555555555555,0.05185185185185184
Phi4 Mini,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.6054466666666667,66.66666666666666,0.5333333333333333,0.5333333333333333,3.0236666666666663,4.5709333333333335,0.08518518518518518,0.10740740740740742,0.10370370370370369
Phi4 Mini,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difáceis,0.56212,73.33333333333333,0.6933333333333334,0.5866666666666668,3.400066666666667,9.915733333333332,0.08703703703703704,0.12592592592592594,0.12129629629629629
Phi4 Mini,04_fusion,Fusion RAG,faceis,Fáceis,0.6563666666666668,40.0,0.6933333333333332,0.72,2.4977333333333336,3.491933333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666
Phi4 Mini,04_fusion,Fusion RAG,medias,Médias,0.6339400000000001,53.333333333333336,0.7466666666666667,0.76,5.450533333333334,4.354266666666666,0.17777777777777778,0.17777777777777778,0.1962962962962963
Phi4 Mini,04_fusion,Fusion RAG,dificeis,Difáceis,0.47787333333333326,73.33333333333333,0.5733333333333335,0.5866666666666667,5.5768,8.227466666666666,0.08333333333333333,0.09074074074074073,0.12666666666666668
Phi4 Mini,05_graph,Graph RAG,faceis,Fáceis,0.5624239999999999,100.0,0.7733333333333333,0.68,0.03900000000000001,0.0,0.0,0.0,0.0
Phi4 Mini,05_graph,Graph RAG,medias,Médias,0.5136466666666667,100.0,0.7599999999999999,0.64,0.038200000000000005,0.0,0.0,0.0,0.0
Phi4 Mini,05_graph,Graph RAG,dificeis,Difáceis,0.5003133333333333,100.0,0.64,0.4799999999999999,0.04126666666666667,0.0,0.0,0.0,0.0
Phi4 Mini,07_guarded,Guarded RAG,faceis,Fáceis,0.7754533333333332,26.666666666666668,0.88,0.76,34.577866666666665,17.833866666666665,0.17407407407407408,0.20740740740740743,0.2476190476190476
Phi4 Mini,07_guarded,Guarded RAG,medias,Médias,0.7575733333333333,46.666666666666664,0.9466666666666668,0.8533333333333335,41.9444,24.314133333333338,0.23703703703703702,0.24814814814814815,0.22962962962962966
Phi4 Mini,07_guarded,Guarded RAG,dificeis,Difáceis,0.6793999999999999,53.333333333333336,0.9866666666666667,0.8266666666666668,45.095733333333335,40.339666666666666,0.16851851851851854,0.21666666666666667,0.24518518518518517
MediPhi Instruct,06_naive,Naive RAG,faceis,Fáceis,0.6972799999999999,40.0,0.8933333333333333,0.6266666666666666,0.061066666666666665,43.3656,0.12222222222222222,0.1962962962962963,0.1548059964726631
MediPhi Instruct,06_naive,Naive RAG,medias,Médias,0.7269697333333334,40.0,0.9466666666666667,0.7200000000000001,0.06533333333333334,55.577400000000004,0.1259259259259259,0.2296296296296296,0.13187830687830684
MediPhi Instruct,06_naive,Naive RAG,dificeis,Difáceis,0.5742466666666667,60.0,1.0,0.6133333333333332,0.07446666666666665,456.5655333333334,0.07777777777777778,0.17222222222222222,0.1211111111111111
MediPhi Instruct,01_standard,Standard RAG,faceis,Fáceis,0.6118133333333333,73.33333333333333,0.7066666666666666,0.5733333333333335,2.5548666666666664,4.2358,0.1111111111111111,0.14074074074074075,0.1137037037037037
MediPhi Instruct,01_standard,Standard RAG,medias,Médias,0.5554533333333332,80.0,0.7066666666666667,0.6266666666666667,3.377333333333333,5.3331333333333335,0.12222222222222222,0.14444444444444443,0.16296296296296295
MediPhi Instruct,01_standard,Standard RAG,dificeis,Difáceis,0.47939393333333324,86.66666666666667,0.41333333333333333,0.5066666666666666,3.2438000000000002,7.130066666666667,0.12037037037037038,0.1462962962962963,0.15037037037037038
MediPhi Instruct,02_agentic,Agentic RAG,faceis,Fáceis,0.5672726666666665,80.0,0.6266666666666666,0.5066666666666667,2.5916,4.1178,0.07777777777777778,0.08518518518518518,0.07851851851851853
